"","School","Degree","Job","Location","Salary","degreesector"
"396","College of Staten Island","Art","Unemployed","Washington D. C.",25586,"Humanities"
"397","Queens College","Art","Retail","Washington D. C.",110976,"Humanities"
"398","Brooklyn College","Art","Retail","Washington D. C.",246303,"Humanities"
"399","College of Staten Island","Art","Retail","Washington D. C.",222900,"Humanities"
"400","City College of New York","English Literature","Higher Education","Chicago",173226,"Humanities"
"401","York College","English Literature","Higher Education","Chicago",152564,"Humanities"
"402","Lehman College","English Literature","Higher Education","Chicago",89434,"Humanities"
"403","City College of New York","English Literature","Higher Education","Chicago",236095,"Humanities"
"404","Baruch College","Philosophy","Higher Education","Chicago",83138,"Humanities"
"405","Hunter College","Philosophy","Unemployed","Chicago",223751,"Humanities"
"406","John Jay College","Philosophy","Unemployed","Chicago",38213,"Humanities"
"407","Baruch College","Philosophy","Retail","Chicago",87761,"Humanities"
"408","Hunter College","Philosophy","Retail","Chicago",61936,"Humanities"
"409","John Jay College","Philosophy","Retail","New York City",231795,"Humanities"
"410","Baruch College","Philosophy","Retail","New York City",102634,"Humanities"
"411","Hunter College","Philosophy","Retail","New York City",56742,"Humanities"
"412","John Jay College","Philosophy","Degree Specific","New York City",205071,"Humanities"
"413","Queens College","Art","Government","Chicago",211469,"Humanities"
"414","Brooklyn College","Art","Government","Chicago",166745,"Humanities"
"415","College of Staten Island","Art","Coporate","Chicago",58823,"Humanities"
"416","Queens College","Art","Coporate","Chicago",181467,"Humanities"
"417","Brooklyn College","Art","Coporate","Chicago",224930,"Humanities"
"418","College of Staten Island","Art","Coporate","New York City",197282,"Humanities"
"419","Queens College","Art","Coporate","New York City",152795,"Humanities"
"420","Brooklyn College","Art","Higher Education","New York City",220088,"Humanities"
"421","City College of New York","English Literature","Government","New York City",43762,"Humanities"
"422","York College","English Literature","Government","New York City",201113,"Humanities"
"423","Lehman College","English Literature","Government","Washington D. C.",224420,"Humanities"
"424","Baruch College","Philosophy","Coporate","New York City",130221,"Humanities"
"425","Hunter College","Philosophy","Coporate","New York City",144022,"Humanities"
"426","John Jay College","Philosophy","Coporate","Washington D. C.",42318,"Humanities"
"427","Baruch College","Philosophy","Higher Education","Washington D. C.",66524,"Humanities"
"428","Hunter College","Philosophy","Higher Education","Washington D. C.",19157,"Humanities"
"429","John Jay College","Philosophy","Higher Education","Washington D. C.",126608,"Humanities"
"430","Baruch College","Philosophy","Higher Education","Chicago",58097,"Humanities"
"431","Hunter College","Philosophy","Higher Education","Chicago",52204,"Humanities"
"432","College of Staten Island","Art","Degree Specific","New York City",76395,"Humanities"
"433","Queens College","Art","Degree Specific","New York City",174948,"Humanities"
"434","Brooklyn College","Art","Degree Specific","New York City",214762,"Humanities"
"435","College of Staten Island","Art","Degree Specific","Washington D. C.",234228,"Humanities"
"436","Queens College","Art","Degree Specific","Washington D. C.",87228,"Humanities"
"437","Brooklyn College","Art","Government","Washington D. C.",219114,"Humanities"
"438","College of Staten Island","Art","Government","Washington D. C.",188282,"Humanities"
"439","Queens College","Art","Government","Chicago",84928,"Humanities"
"440","Brooklyn College","Art","Government","Chicago",186393,"Humanities"
"441","Lehman College","English Literature","Retail","Chicago",223184,"Humanities"
"442","City College of New York","English Literature","Degree Specific","Chicago",26033,"Humanities"
"443","York College","English Literature","Degree Specific","New York City",132649,"Humanities"
"444","Lehman College","English Literature","Degree Specific","New York City",170575,"Humanities"
"445","John Jay College","Philosophy","Degree Specific","Chicago",77321,"Humanities"
"446","Baruch College","Philosophy","Degree Specific","Chicago",65512,"Humanities"
"447","Hunter College","Philosophy","Government","Chicago",119166,"Humanities"
"448","John Jay College","Philosophy","Government","New York City",12097,"Humanities"
"449","Baruch College","Philosophy","Government","New York City",214778,"Humanities"
"450","Hunter College","Philosophy","Government","New York City",26591,"Humanities"
"451","John Jay College","Philosophy","Coporate","New York City",120088,"Humanities"
"452","Baruch College","Philosophy","Coporate","New York City",249153,"Humanities"
"453","Hunter College","Philosophy","Coporate","New York City",78715,"Humanities"
"454","College of Staten Island","Art","Unemployed","Chicago",149564,"Humanities"
"455","Queens College","Art","Unemployed","Chicago",126754,"Humanities"
"456","Brooklyn College","Art","Retail","Chicago",196353,"Humanities"
"457","College of Staten Island","Art","Retail","New York City",150533,"Humanities"
"458","Queens College","Art","Retail","New York City",100778,"Humanities"
"459","Brooklyn College","Art","Retail","New York City",172454,"Humanities"
"460","College of Staten Island","Art","Retail","New York City",158082,"Humanities"
"461","Queens College","Art","Degree Specific","New York City",141167,"Humanities"
"462","York College","English Literature","Higher Education","New York City",24121,"Humanities"
"463","Lehman College","English Literature","Higher Education","Washington D. C.",208843,"Humanities"
"464","City College of New York","English Literature","Unemployed","Washington D. C.",178077,"Humanities"
"465","York College","English Literature","Unemployed","Washington D. C.",161514,"Humanities"
"466","Hunter College","Philosophy","Retail","New York City",54936,"Humanities"
"467","John Jay College","Philosophy","Retail","Washington D. C.",186038,"Humanities"
"468","Baruch College","Philosophy","Retail","Washington D. C.",246864,"Humanities"
"469","Hunter College","Philosophy","Retail","Washington D. C.",208875,"Humanities"
"470","John Jay College","Philosophy","Degree Specific","Washington D. C.",127633,"Humanities"
"471","Baruch College","Philosophy","Degree Specific","Chicago",174498,"Humanities"
"472","Hunter College","Philosophy","Degree Specific","Chicago",72514,"Humanities"
"473","John Jay College","Philosophy","Degree Specific","Chicago",186126,"Humanities"
"474","Baruch College","Philosophy","Degree Specific","Chicago",94755,"Humanities"
"475","Brooklyn College","Art","Coporate","New York City",98014,"Humanities"
"476","College of Staten Island","Art","Coporate","Washington D. C.",130652,"Humanities"
"477","Queens College","Art","Coporate","Washington D. C.",218960,"Humanities"
"478","Brooklyn College","Art","Higher Education","Washington D. C.",195850,"Humanities"
"479","College of Staten Island","Art","Higher Education","Washington D. C.",42719,"Humanities"
"480","Queens College","Art","Higher Education","Chicago",162160,"Humanities"
"481","Brooklyn College","Art","Higher Education","Chicago",165079,"Humanities"
"482","College of Staten Island","Art","Higher Education","Chicago",83869,"Humanities"
"483","York College","English Literature","Coporate","New York City",91630,"Humanities"
"484","Lehman College","English Literature","Coporate","New York City",156591,"Humanities"
"485","City College of New York","English Literature","Coporate","New York City",13170,"Humanities"
"486","Hunter College","Philosophy","Higher Education","Chicago",129517,"Humanities"
"487","John Jay College","Philosophy","Higher Education","New York City",81859,"Humanities"
"488","Baruch College","Philosophy","Higher Education","New York City",113296,"Humanities"
"489","Hunter College","Philosophy","Higher Education","New York City",17398,"Humanities"
"490","John Jay College","Philosophy","Higher Education","New York City",143043,"Humanities"
"491","Baruch College","Philosophy","Unemployed","New York City",123722,"Humanities"
"492","Hunter College","Philosophy","Retail","New York City",135756,"Humanities"
"493","John Jay College","Philosophy","Retail","New York City",219498,"Humanities"
"494","Queens College","Art","Degree Specific","Chicago",70932,"Humanities"
"495","Brooklyn College","Art","Degree Specific","Chicago",150718,"Humanities"
"496","College of Staten Island","Art","Government","New York City",78936,"Humanities"
"497","Queens College","Art","Government","New York City",28377,"Humanities"
"498","Brooklyn College","Art","Government","New York City",171745,"Humanities"
"499","College of Staten Island","Art","Government","New York City",35866,"Humanities"
"500","Queens College","Art","Government","New York City",174681,"Humanities"
"501","Brooklyn College","Art","Coporate","New York City",139631,"Humanities"
"502","College of Staten Island","Art","Coporate","New York City",29693,"Humanities"
"503","City College of New York","English Literature","Degree Specific","Washington D. C.",154661,"Humanities"
"504","York College","English Literature","Degree Specific","Washington D. C.",55498,"Humanities"
"505","Lehman College","English Literature","Degree Specific","Washington D. C.",60453,"Humanities"
"506","City College of New York","English Literature","Government","Chicago",136749,"Humanities"
"507","Baruch College","Philosophy","Government","Washington D. C.",44836,"Humanities"
"508","Hunter College","Philosophy","Government","Washington D. C.",76727,"Humanities"
"509","John Jay College","Philosophy","Government","Washington D. C.",109874,"Humanities"
"510","Baruch College","Philosophy","Coporate","Chicago",33082,"Humanities"
"511","Hunter College","Philosophy","Coporate","Chicago",45080,"Humanities"
"512","John Jay College","Philosophy","Coporate","Chicago",135803,"Humanities"
"513","Baruch College","Philosophy","Coporate","Chicago",178148,"Humanities"
"514","Hunter College","Philosophy","Coporate","Chicago",172749,"Humanities"
"515","John Jay College","Philosophy","Higher Education","New York City",73234,"Humanities"
"516","Queens College","Art","Retail","Washington D. C.",222711,"Humanities"
"517","Brooklyn College","Art","Retail","Washington D. C.",221747,"Humanities"
"518","College of Staten Island","Art","Retail","Washington D. C.",221394,"Humanities"
"519","Queens College","Art","Retail","Chicago",31045,"Humanities"
"520","Brooklyn College","Art","Degree Specific","Chicago",79561,"Humanities"
"521","College of Staten Island","Art","Degree Specific","Chicago",134403,"Humanities"
"522","Queens College","Art","Degree Specific","Chicago",207555,"Humanities"
"523","Brooklyn College","Art","Degree Specific","Chicago",66225,"Humanities"
"524","Lehman College","English Literature","Retail","New York City",142053,"Humanities"
"525","City College of New York","English Literature","Retail","New York City",140060,"Humanities"
"526","York College","English Literature","Retail","New York City",81944,"Humanities"
"527","Lehman College","English Literature","Retail","New York City",19097,"Humanities"
"528","John Jay College","Philosophy","Retail","New York City",191606,"Humanities"
"529","Baruch College","Philosophy","Degree Specific","New York City",163187,"Humanities"
"530","Hunter College","Philosophy","Degree Specific","New York City",99380,"Humanities"
"531","John Jay College","Philosophy","Degree Specific","New York City",223690,"Humanities"
"532","Baruch College","Philosophy","Degree Specific","New York City",230730,"Humanities"
"533","Hunter College","Philosophy","Degree Specific","New York City",230554,"Humanities"
"534","John Jay College","Philosophy","Government","New York City",30928,"Humanities"
"535","Baruch College","Philosophy","Government","Washington D. C.",20509,"Humanities"
"536","Hunter College","Philosophy","Government","Washington D. C.",112211,"Humanities"
"537","College of Staten Island","Art","Higher Education","New York City",188277,"Humanities"
"538","Queens College","Art","Higher Education","New York City",30271,"Humanities"
"539","Brooklyn College","Art","Higher Education","New York City",220207,"Humanities"
"540","College of Staten Island","Art","Higher Education","New York City",32103,"Humanities"
"541","Queens College","Art","Higher Education","New York City",169397,"Humanities"
"542","Brooklyn College","Art","Unemployed","New York City",128198,"Humanities"
"543","College of Staten Island","Art","Unemployed","New York City",114833,"Humanities"
"544","Queens College","Art","Retail","Washington D. C.",218708,"Humanities"
"545","Lehman College","English Literature","Coporate","Washington D. C.",72381,"Humanities"
"546","City College of New York","English Literature","Higher Education","Chicago",167443,"Humanities"
"547","York College","English Literature","Higher Education","Chicago",222017,"Humanities"
"548","John Jay College","Philosophy","Higher Education","Washington D. C.",34659,"Humanities"
"549","Baruch College","Philosophy","Unemployed","Chicago",51653,"Humanities"
"550","Hunter College","Philosophy","Unemployed","Chicago",22721,"Humanities"
"551","John Jay College","Philosophy","Retail","Chicago",175241,"Humanities"
"552","Baruch College","Philosophy","Retail","Chicago",181524,"Humanities"
"553","Hunter College","Philosophy","Retail","Chicago",111952,"Humanities"
"554","John Jay College","Philosophy","Retail","New York City",109217,"Humanities"
"555","Baruch College","Philosophy","Retail","New York City",159736,"Humanities"
"556","Brooklyn College","Art","Government","Washington D. C.",151283,"Humanities"
"557","College of Staten Island","Art","Government","Washington D. C.",13689,"Humanities"
"558","Queens College","Art","Government","Chicago",234995,"Humanities"
"559","Brooklyn College","Art","Coporate","Chicago",101507,"Humanities"
"560","College of Staten Island","Art","Coporate","Chicago",93347,"Humanities"
"561","Queens College","Art","Coporate","Chicago",68402,"Humanities"
"562","Brooklyn College","Art","Coporate","Chicago",103170,"Humanities"
"563","College of Staten Island","Art","Coporate","New York City",229491,"Humanities"
"564","Queens College","Art","Higher Education","New York City",183229,"Humanities"
"565","York College","English Literature","Government","New York City",83756,"Humanities"
"566","Lehman College","English Literature","Government","New York City",90329,"Humanities"
"567","City College of New York","English Literature","Government","New York City",38815,"Humanities"
"568","York College","English Literature","Government","New York City",127444,"Humanities"
"569","Hunter College","Philosophy","Coporate","New York City",221521,"Humanities"
"570","John Jay College","Philosophy","Coporate","New York City",222344,"Humanities"
"571","Baruch College","Philosophy","Coporate","New York City",105107,"Humanities"
"572","Hunter College","Philosophy","Coporate","New York City",216953,"Humanities"
"573","John Jay College","Philosophy","Higher Education","New York City",206257,"Humanities"
"574","Baruch College","Philosophy","Higher Education","Washington D. C.",103612,"Humanities"
"575","Hunter College","Philosophy","Higher Education","Washington D. C.",117685,"Humanities"
"576","John Jay College","Philosophy","Higher Education","Washington D. C.",223668,"Humanities"
"577","Baruch College","Philosophy","Higher Education","Washington D. C.",60862,"Humanities"
"578","Brooklyn College","Art","Degree Specific","New York City",141636,"Humanities"
"579","College of Staten Island","Art","Degree Specific","New York City",12604,"Humanities"
"580","Queens College","Art","Degree Specific","New York City",108165,"Humanities"
"581","Brooklyn College","Art","Degree Specific","New York City",152408,"Humanities"
"582","College of Staten Island","Art","Degree Specific","New York City",116601,"Humanities"
"583","Queens College","Art","Degree Specific","Washington D. C.",241428,"Humanities"
"584","Brooklyn College","Art","Government","Washington D. C.",204626,"Humanities"
"585","College of Staten Island","Art","Government","Washington D. C.",48428,"Humanities"
"586","City College of New York","English Literature","Retail","Chicago",73219,"Humanities"
"587","York College","English Literature","Retail","Chicago",118754,"Humanities"
"588","Lehman College","English Literature","Degree Specific","Chicago",211819,"Humanities"
"589","City College of New York","English Literature","Degree Specific","Chicago",57116,"Humanities"
"590","Baruch College","Philosophy","Degree Specific","Chicago",205929,"Humanities"
"591","Hunter College","Philosophy","Degree Specific","Chicago",81557,"Humanities"
"592","John Jay College","Philosophy","Degree Specific","Chicago",48106,"Humanities"
"593","Baruch College","Philosophy","Government","Chicago",172309,"Humanities"
"594","Hunter College","Philosophy","Government","Chicago",10521,"Humanities"
"595","John Jay College","Philosophy","Government","New York City",202417,"Humanities"
"596","Baruch College","Philosophy","Government","New York City",119807,"Humanities"
"597","Hunter College","Philosophy","Government","New York City",92399,"Humanities"
"598","John Jay College","Philosophy","Coporate","New York City",215727,"Humanities"
"599","Queens College","Art","Higher Education","Chicago",113693,"Humanities"
"600","Brooklyn College","Art","Higher Education","Chicago",80171,"Humanities"
"601","College of Staten Island","Art","Unemployed","Chicago",55140,"Humanities"
"602","Queens College","Art","Retail","Chicago",212550,"Humanities"
"603","Brooklyn College","Art","Retail","Chicago",101628,"Humanities"
"604","College of Staten Island","Art","Retail","New York City",42062,"Humanities"
"605","Queens College","Art","Retail","New York City",39707,"Humanities"
"606","Brooklyn College","Art","Retail","New York City",183077,"Humanities"
"607","City College of New York","English Literature","Higher Education","New York City",241541,"Humanities"
"608","York College","English Literature","Higher Education","New York City",201021,"Humanities"
"609","Lehman College","English Literature","Unemployed","Washington D. C.",214932,"Humanities"
"610","Baruch College","Philosophy","Retail","New York City",197226,"Humanities"
"611","Hunter College","Philosophy","Retail","New York City",239318,"Humanities"
"612","John Jay College","Philosophy","Retail","New York City",107214,"Humanities"
"613","Baruch College","Philosophy","Retail","Washington D. C.",166715,"Humanities"
"614","Hunter College","Philosophy","Retail","Washington D. C.",85166,"Humanities"
"615","John Jay College","Philosophy","Degree Specific","Washington D. C.",38179,"Humanities"
"616","Baruch College","Philosophy","Degree Specific","Washington D. C.",29414,"Humanities"
"617","Hunter College","Philosophy","Degree Specific","Chicago",20578,"Humanities"
"618","College of Staten Island","Art","Coporate","New York City",46162,"Humanities"
"619","Queens College","Art","Coporate","New York City",220801,"Humanities"
"620","Brooklyn College","Art","Coporate","New York City",97264,"Humanities"
"621","College of Staten Island","Art","Coporate","New York City",205251,"Humanities"
"622","Queens College","Art","Coporate","Washington D. C.",58783,"Humanities"
"623","Brooklyn College","Art","Higher Education","Washington D. C.",88495,"Humanities"
"624","College of Staten Island","Art","Higher Education","Washington D. C.",198196,"Humanities"
"625","Queens College","Art","Higher Education","Washington D. C.",212195,"Humanities"
"626","Brooklyn College","Art","Higher Education","Chicago",199586,"Humanities"
"627","Lehman College","English Literature","Government","Chicago",18540,"Humanities"
"628","City College of New York","English Literature","Coporate","Chicago",161708,"Humanities"
"629","York College","English Literature","Coporate","New York City",228583,"Humanities"
"630","Lehman College","English Literature","Coporate","New York City",206378,"Humanities"
"631","John Jay College","Philosophy","Coporate","Chicago",50263,"Humanities"
"632","Baruch College","Philosophy","Higher Education","Chicago",192783,"Humanities"
"633","Hunter College","Philosophy","Higher Education","Chicago",22781,"Humanities"
"634","John Jay College","Philosophy","Higher Education","New York City",50930,"Humanities"
"635","Baruch College","Philosophy","Higher Education","New York City",125309,"Humanities"
"636","Hunter College","Philosophy","Higher Education","New York City",172430,"Humanities"
"637","John Jay College","Philosophy","Unemployed","New York City",212094,"Humanities"
"638","Baruch College","Philosophy","Unemployed","New York City",30294,"Humanities"
"639","Hunter College","Philosophy","Retail","New York City",147675,"Humanities"
"640","College of Staten Island","Art","Degree Specific","Chicago",12029,"Humanities"
"641","Queens College","Art","Degree Specific","Chicago",158136,"Humanities"
"642","Brooklyn College","Art","Government","Chicago",224165,"Humanities"
"643","College of Staten Island","Art","Government","New York City",232694,"Humanities"
"644","Queens College","Art","Government","New York City",65859,"Humanities"
"645","Brooklyn College","Art","Government","New York City",164770,"Humanities"
"646","College of Staten Island","Art","Government","New York City",61567,"Humanities"
"647","Queens College","Art","Coporate","New York City",14067,"Humanities"
"648","York College","English Literature","Degree Specific","New York City",26659,"Humanities"
"649","Lehman College","English Literature","Degree Specific","Washington D. C.",215333,"Humanities"
"650","City College of New York","English Literature","Degree Specific","Washington D. C.",34217,"Humanities"
"651","York College","English Literature","Degree Specific","Washington D. C.",148528,"Humanities"
"652","Hunter College","Philosophy","Government","New York City",234181,"Humanities"
"653","John Jay College","Philosophy","Government","New York City",99993,"Humanities"
"654","Baruch College","Philosophy","Government","Washington D. C.",16015,"Humanities"
"655","Hunter College","Philosophy","Government","Washington D. C.",93759,"Humanities"
"656","John Jay College","Philosophy","Coporate","Washington D. C.",19169,"Humanities"
"657","Baruch College","Philosophy","Coporate","Washington D. C.",99267,"Humanities"
"658","Hunter College","Philosophy","Coporate","Chicago",158279,"Humanities"
"659","John Jay College","Philosophy","Coporate","Chicago",191250,"Humanities"
"660","Baruch College","Philosophy","Coporate","Chicago",157804,"Humanities"
"661","Brooklyn College","Art","Retail","New York City",86526,"Humanities"
"662","College of Staten Island","Art","Retail","New York City",182166,"Humanities"
"663","Queens College","Art","Retail","Washington D. C.",170661,"Humanities"
"664","Brooklyn College","Art","Retail","Washington D. C.",200794,"Humanities"
"665","College of Staten Island","Art","Retail","Washington D. C.",183136,"Humanities"
"666","Queens College","Art","Degree Specific","Washington D. C.",24713,"Humanities"
"667","Brooklyn College","Art","Degree Specific","Chicago",194057,"Humanities"
"668","College of Staten Island","Art","Degree Specific","Chicago",29506,"Humanities"
"669","York College","English Literature","Unemployed","New York City",57570,"Humanities"
"670","Lehman College","English Literature","Retail","New York City",187157,"Humanities"
"671","City College of New York","English Literature","Retail","New York City",149415,"Humanities"
"672","Queens College","Computer Science","Unemployed","New York City",218246,"STEM"
"673","John Jay College","Computer Science","Retail","New York City",77217,"STEM"
"674","York College","Computer Science","Retail","New York City",29102,"STEM"
"675","City College of New York","Physics","Retail","New York City",99449,"STEM"
"676","Queens College","Physics","Degree Specific","Washington D. C.",168591,"STEM"
"677","John Jay College","Physics","Degree Specific","Washington D. C.",232247,"STEM"
"678","York College","Physics","Degree Specific","Washington D. C.",46217,"STEM"
"679","Queens College","Math","Higher Education","New York City",232951,"STEM"
"680","John Jay College","Math","Higher Education","Washington D. C.",96653,"STEM"
"681","York College","Math","Higher Education","Washington D. C.",208150,"STEM"
"682","Brooklyn College","Math","Unemployed","Washington D. C.",39434,"STEM"
"683","Baruch College","Math","Unemployed","Chicago",42327,"STEM"
"684","Lehman College","Math","Retail","Chicago",62530,"STEM"
"685","College of Staten Island","Math","Retail","Chicago",23561,"STEM"
"686","Hunter College","Math","Retail","New York City",129314,"STEM"
"687","City College of New York","Math","Degree Specific","New York City",229502,"STEM"
"688","Queens College","Math","Degree Specific","New York City",160080,"STEM"
"689","John Jay College","Math","Degree Specific","New York City",59077,"STEM"
"690","York College","Math","Degree Specific","New York City",66126,"STEM"
"691","Brooklyn College","Math","Government","Washington D. C.",27607,"STEM"
"692","Baruch College","Math","Government","Washington D. C.",159590,"STEM"
"693","Hunter College","Biology","Higher Education","New York City",68475,"STEM"
"694","City College of New York","Biology","Higher Education","New York City",152659,"STEM"
"695","Queens College","Biology","Higher Education","New York City",106640,"STEM"
"696","John Jay College","Biology","Unemployed","New York City",55655,"STEM"
"697","York College","Biology","Retail","Washington D. C.",223316,"STEM"
"698","City College of New York","Computer Science","Coporate","Washington D. C.",126478,"STEM"
"699","Queens College","Computer Science","Coporate","Washington D. C.",140103,"STEM"
"700","John Jay College","Computer Science","Higher Education","Chicago",206783,"STEM"
"701","York College","Computer Science","Higher Education","Chicago",22311,"STEM"
"702","Hunter College","Physics","Higher Education","Chicago",71499,"STEM"
"703","City College of New York","Physics","Higher Education","Chicago",95020,"STEM"
"704","Queens College","Physics","Unemployed","New York City",228198,"STEM"
"705","John Jay College","Physics","Retail","New York City",66531,"STEM"
"706","Queens College","Math","Government","New York City",10981,"STEM"
"707","John Jay College","Math","Coporate","New York City",162712,"STEM"
"708","York College","Math","Coporate","New York City",24218,"STEM"
"709","Brooklyn College","Math","Coporate","New York City",66996,"STEM"
"710","Baruch College","Math","Coporate","New York City",86100,"STEM"
"711","Lehman College","Math","Higher Education","Washington D. C.",167851,"STEM"
"712","College of Staten Island","Math","Higher Education","Washington D. C.",95554,"STEM"
"713","Hunter College","Math","Higher Education","Washington D. C.",82262,"STEM"
"714","City College of New York","Math","Higher Education","Chicago",138195,"STEM"
"715","Queens College","Math","Unemployed","Chicago",218573,"STEM"
"716","John Jay College","Math","Retail","Chicago",73717,"STEM"
"717","York College","Math","Retail","Chicago",74163,"STEM"
"718","Brooklyn College","Math","Retail","New York City",214965,"STEM"
"719","Baruch College","Math","Retail","New York City",61056,"STEM"
"720","Hunter College","Biology","Government","Chicago",64091,"STEM"
"721","City College of New York","Biology","Coporate","Chicago",189729,"STEM"
"722","Queens College","Biology","Coporate","Chicago",225371,"STEM"
"723","John Jay College","Biology","Coporate","New York City",27823,"STEM"
"724","York College","Biology","Higher Education","New York City",171586,"STEM"
"725","Hunter College","Computer Science","Degree Specific","New York City",158889,"STEM"
"726","City College of New York","Computer Science","Government","New York City",72068,"STEM"
"727","Queens College","Computer Science","Government","New York City",109068,"STEM"
"728","John Jay College","Computer Science","Government","New York City",248209,"STEM"
"729","Hunter College","Physics","Coporate","Washington D. C.",128802,"STEM"
"730","City College of New York","Physics","Coporate","Washington D. C.",151805,"STEM"
"731","Queens College","Physics","Coporate","Washington D. C.",171288,"STEM"
"732","John Jay College","Physics","Coporate","Chicago",94602,"STEM"
"733","City College of New York","Math","Degree Specific","Washington D. C.",175049,"STEM"
"734","Queens College","Math","Degree Specific","Washington D. C.",168146,"STEM"
"735","John Jay College","Math","Degree Specific","Chicago",152230,"STEM"
"736","York College","Math","Degree Specific","Chicago",230413,"STEM"
"737","Brooklyn College","Math","Government","Chicago",148785,"STEM"
"738","Baruch College","Math","Government","Chicago",32756,"STEM"
"739","Lehman College","Math","Government","New York City",104615,"STEM"
"740","College of Staten Island","Math","Government","New York City",21878,"STEM"
"741","Hunter College","Math","Coporate","New York City",77480,"STEM"
"742","City College of New York","Math","Coporate","New York City",62149,"STEM"
"743","Queens College","Math","Coporate","New York City",183085,"STEM"
"744","John Jay College","Math","Higher Education","Washington D. C.",201898,"STEM"
"745","York College","Math","Higher Education","Washington D. C.",60160,"STEM"
"746","Brooklyn College","Math","Higher Education","Washington D. C.",192832,"STEM"
"747","College of Staten Island","Biology","Degree Specific","New York City",108281,"STEM"
"748","Hunter College","Biology","Degree Specific","New York City",143789,"STEM"
"749","City College of New York","Biology","Degree Specific","Washington D. C.",246984,"STEM"
"750","Queens College","Biology","Government","Washington D. C.",108583,"STEM"
"751","John Jay College","Biology","Government","Washington D. C.",54513,"STEM"
"752","Hunter College","Computer Science","Retail","Chicago",171111,"STEM"
"753","City College of New York","Computer Science","Retail","Chicago",139182,"STEM"
"754","Queens College","Computer Science","Degree Specific","Chicago",47852,"STEM"
"755","John Jay College","Computer Science","Degree Specific","Chicago",168624,"STEM"
"756","College of Staten Island","Physics","Degree Specific","New York City",231163,"STEM"
"757","Hunter College","Physics","Degree Specific","New York City",108569,"STEM"
"758","City College of New York","Physics","Degree Specific","New York City",44292,"STEM"
"759","Queens College","Physics","Government","New York City",163223,"STEM"
"760","City College of New York","Math","Unemployed","New York City",195108,"STEM"
"761","Queens College","Math","Unemployed","New York City",41652,"STEM"
"762","John Jay College","Math","Retail","New York City",188937,"STEM"
"763","York College","Math","Retail","New York City",194581,"STEM"
"764","Brooklyn College","Math","Retail","Washington D. C.",127429,"STEM"
"765","Baruch College","Math","Degree Specific","Washington D. C.",227719,"STEM"
"766","Lehman College","Math","Degree Specific","Washington D. C.",122823,"STEM"
"767","College of Staten Island","Math","Degree Specific","Chicago",61406,"STEM"
"768","Hunter College","Math","Degree Specific","Chicago",147815,"STEM"
"769","City College of New York","Math","Government","Chicago",145413,"STEM"
"770","Queens College","Math","Government","Chicago",119051,"STEM"
"771","John Jay College","Math","Government","New York City",173754,"STEM"
"772","York College","Math","Government","New York City",22356,"STEM"
"773","Brooklyn College","Math","Coporate","New York City",198704,"STEM"
"774","College of Staten Island","Biology","Unemployed","Chicago",144682,"STEM"
"775","Hunter College","Biology","Retail","Chicago",50338,"STEM"
"776","City College of New York","Biology","Retail","New York City",129302,"STEM"
"777","Queens College","Biology","Retail","New York City",227902,"STEM"
"778","John Jay College","Biology","Retail","New York City",13728,"STEM"
"779","College of Staten Island","Computer Science","Higher Education","New York City",115613,"STEM"
"780","Hunter College","Computer Science","Higher Education","New York City",210309,"STEM"
"781","City College of New York","Computer Science","Higher Education","New York City",24649,"STEM"
"782","Queens College","Computer Science","Higher Education","Washington D. C.",43955,"STEM"
"783","College of Staten Island","Physics","Retail","Washington D. C.",86718,"STEM"
"784","Hunter College","Physics","Retail","Washington D. C.",154140,"STEM"
"785","City College of New York","Physics","Retail","Chicago",194210,"STEM"
"786","Queens College","Physics","Retail","Chicago",71281,"STEM"
"787","Hunter College","Math","Coporate","Washington D. C.",149861,"STEM"
"788","City College of New York","Math","Coporate","Chicago",195808,"STEM"
"789","Queens College","Math","Coporate","Chicago",109750,"STEM"
"790","John Jay College","Math","Higher Education","Chicago",94402,"STEM"
"791","York College","Math","Higher Education","Chicago",172148,"STEM"
"792","Brooklyn College","Math","Higher Education","New York City",40044,"STEM"
"793","Baruch College","Math","Higher Education","New York City",181339,"STEM"
"794","Lehman College","Math","Unemployed","New York City",188623,"STEM"
"795","College of Staten Island","Math","Retail","New York City",153858,"STEM"
"796","Hunter College","Math","Retail","New York City",114128,"STEM"
"797","City College of New York","Math","Retail","Washington D. C.",232006,"STEM"
"798","Queens College","Math","Retail","Washington D. C.",81397,"STEM"
"799","John Jay College","Math","Degree Specific","Washington D. C.",66631,"STEM"
"800","York College","Math","Degree Specific","Chicago",213574,"STEM"
"801","Lehman College","Biology","Coporate","New York City",122837,"STEM"
"802","College of Staten Island","Biology","Coporate","Washington D. C.",174431,"STEM"
"803","Hunter College","Biology","Higher Education","Washington D. C.",79007,"STEM"
"804","City College of New York","Biology","Higher Education","Washington D. C.",98159,"STEM"
"805","Queens College","Biology","Higher Education","Chicago",130230,"STEM"
"806","College of Staten Island","Computer Science","Government","Chicago",79901,"STEM"
"807","Hunter College","Computer Science","Government","Chicago",56546,"STEM"
"808","City College of New York","Computer Science","Coporate","Chicago",51602,"STEM"
"809","Queens College","Computer Science","Coporate","New York City",163733,"STEM"
"810","Lehman College","Physics","Coporate","New York City",228216,"STEM"
"811","College of Staten Island","Physics","Coporate","New York City",145789,"STEM"
"812","Hunter College","Physics","Higher Education","New York City",159730,"STEM"
